Name_of_Satellite, Alternate_Names	Current_Official_Name_of_Satellite	Country_of_OperatorOwner	OperatorOwner	Users	Purpose	Detailed_Purpose	Class_of_Orbit	Longitude_GEO	Perigee	Apogee	Eccentricity	Inclination	Period	Launch_Mass	Date_of_Launch	Expected_Lifetime	Contractor	Country_of_Contractor	Launch_Site	Launch_Vehicle	Comments
1HOPSAT-TD (1st-generation High Optical Performance Satellite)	1HOPSAT-TD	USA	Hera Systems	Commercial	Earth Observation	Infrared Imaging	LEO	0	566	576	0.00151	36.9	96.08	22	2019-12-10T23:00:00Z	0.5	Hera Systems	USA	Satish Dhawan Space Centre	PSLV	Pathfinder for planned earth observation constellation.
AAC AIS-Sat1 (Kelpie 1)	AAC AIS-Sat1 (Kelpie 1)	United Kingdom	AAC Clyde Space	Commercial	Earth Observation	Automatic Identification System (AIS)	LEO	0	637	654	0.00151	98	95	4	2023-01-02T23:00:00Z		AAC Clyde Space	Sweden/UK/USA/Netherlands	Cape Canaveral	Falcon 9	Provide AIS information to Orbcomm.
Aalto-1	Aalto-1	Finland	Aalto University	Civil	Technology Development		LEO	0	497	517	0.00145	97.45	94.7	4	2017-06-22T22:00:00Z	2	Aalto University	Finland	Satish Dhawan Space Centre	PSLV	Technology development and education.
AAt-4	AAt-4	Denmark	University of Aalborg	Civil	Earth Observation	Automatic Identification System (AIS)	LEO	0	442	687	0.00151	98.2	95.9	1	2016-04-24T22:00:00Z		University of Aalborg	Denmark	Guiana Space Center	Soyuz-2.1a	Carries AIS system.
ABS-2 (Koreasat-8, ST-3)	ABS-2	Multinational	Asia Broadcast Satellite Ltd.	Commercial	Communications		GEO	75	35778	35793	1.7791272787655228E-4	0.08	1436.03	6330	2014-02-05T23:00:00Z	15	Space Systems/Loral	USA	Guiana Space Center	Ariane 5 ECA	32 C-band, 51 Ku-band, and 6 Ka-band transponders. $214 million lawsuit for bad beam.
ABS-2A	ABS-2A	Multinational	Asia Broadcast Satellite Ltd.	Commercial	Communications		GEO	-75	35700	35700	0	0	1436.1	1800	2016-06-14T22:00:00Z	15	Boeing Satellite Systems	USA	Cape Canaveral	Falcon 9	
ABS-3A	ABS-3A	Multinational	Asia Broadcast Satellite Ltd.	Commercial	Communications		GEO	-3	35788	35803	1.7787053396734297E-4	0.1	1436	2000	2015-03-01T23:00:00Z	15	Boeing Satellite Systems	USA	Cape Canaveral	Falcon 9	Coverage of Americas Europe and Africa.
ABS-4 (ABS-2i, MBSat, Mobile Broadcasting Satellite, Han Byul)	ABS-4	Multinational	Asia Broadcast Satellite Ltd.	Commercial	Communications		GEO	75	35780	35793	1.5418737324018834E-4	0.01	1436.1	4143	2004-03-12T23:00:00Z	12	Space Systems/Loral	USA	Cape Canaveral	Atlas 3	Purchased by ABS in 2013.
ABS-6 (ABS-1, LMI-1, Lockheed Martin-Intersputnik-1)	ABS-6	Multinational	Asia Broadcast Satellite Ltd.	Commercial	Communications		GEO	159	35777	35794	2.0163442492675927E-4	0.01	1436.08	2894	1999-09-25T22:00:00Z	15	Lockheed Martin	USA	Baikonur Cosmodrome	Proton	28 C-band, 16 Ku-band; business services, public voice and data services, broadcasting, direct-to-home; Eastern Europe, CIS, South and Southeast Asia, Africa, Middle East, Australia.
Adelis-Sampson 1	Adelis-Sampson 1	Israel	Asher Space Research Institute at Technion/Israeli Aircraft Industries	Government	Technology Development		LEO	0	538	561	0.0016619697955054557	97.5	95.5	9	2021-03-21T23:00:00Z		Asher Space Research Institute at Technion/Israeli Aircraft Industries	Israel	Baikonur Cosmodrome	Soyuz-2.1a	Demonstrate long-term autonomous cluster flight of multiple satellites; determine the position of a cooperative terrestrial emitter.
Adelis-Sampson 2	Adelis-Sampson 2	Israel	Asher Space Research Institute at Technion/Israeli Aircraft Industries	Government	Technology Development		LEO	0	539	599	0.00432338953739732	97.5	95.5	9	2021-03-21T23:00:00Z		Asher Space Research Institute at Technion/Israeli Aircraft Industries	Israel	Baikonur Cosmodrome	Soyuz-2.1a	Demonstrate long-term autonomous cluster flight of multiple satellites; determine the position of a cooperative terrestrial emitter.
Adelis-Sampson 3	Adelis-Sampson 3	Israel	Asher Space Research Institute at Technion/Israeli Aircraft Industries	Government	Technology Development		LEO	0	537	561	0.001734354675531146	97.5	95.5	9	2021-03-21T23:00:00Z		Asher Space Research Institute at Technion/Israeli Aircraft Industries	Israel	Baikonur Cosmodrome	Soyuz-2.1a	Demonstrate long-term autonomous cluster flight of multiple satellites; determine the position of a cooperative terrestrial emitter.
ADLER-2	ADLER-2	Austria	Austrian Space Forum (OEWF)/Spire	Civil	Earth Science		LEO	0	497	506	6.548788474132286E-4	97.4	95	11	2023-04-14T22:00:00Z		Spire Global	USA	Vandenberg AFB	Falcon 9	Orbital debris monitoring/study clouds and aerosols in atmosphere
Advanced Orion 10 (Mentor, NRO L-44, USA 311)	USA 311	USA	National Reconnaissance Office (NRO)	Military	Earth Observation	Electronic Intelligence	GEO	0	35700	35800	0.0011870845204178537	0	1437.6	5400	2020-12-10T23:00:00Z		National Reconnaissance Laboratory (?)	USA	Cape Canaveral	Delta 4 Heavy	ELINT.
Advanced Orion 4 (Mentor, NROL 6, USA 139)	USA 139	USA	National Reconnaissance Office (NRO)	Military	Earth Observation	Electronic Intelligence	GEO	-26	35560	36013	0.005372836929061948	7.72	1436.14	5200	1998-05-08T22:00:00Z		TRW Space and Electronics	USA	Cape Canaveral	Titan IVA	ELINT.
Advanced Orion 5 (Mentor, NROL 19, USA 171)	USA 171	USA	National Reconnaissance Office (NRO)	Military	Earth Observation	Electronic Intelligence	GEO	68	35589	35984	0.004684924033067262	3.2	1436.1	5200	2003-09-08T22:00:00Z		TRW Space and Electronics	USA	Cape Canaveral	Titan IV	Electronic intelligence (ELINT).
Advanced Orion 6 (Mentor, NRO L-26, USA 202)	USA 202	USA	National Reconnaissance Office (NRO)	Military	Earth Observation	Electronic Intelligence	GEO	44	35714	35937	0.0026424618738965055	2.89	1438.8	5400	2009-01-17T23:00:00Z		National Reconnaissance Laboratory (?)	USA	Cape Canaveral	Delta 4 Heavy	ELINT.
